variable_id,mz,rt,bl20210902_10,bl20210902_11,bl20210902_13,bl20210902_14,bl20210902_26,bl20210902_27,bl20210902_29,bl20210902_30,bl20210902_31,bl20210902_32,bl20210902_33,bl20210902_34,bl20210902_35,bl20210902_36,bl20210902_4,bl20210902_5,bl20210902_6,bl20210902_7,bl20210902_8,bl20210902_9,bl20210902_15,bl20210902_16,bl20210902_17,bl20210902_18,bl20210902_19,bl20210902_20,bl20210902_22,bl20210902_23,bl20210902_24,bl20210902_25,bl20210902_12,bl20210902_21,bl20210902_28,bl20210902_3,bl20210902_37,bl20210902_38
M776T629_POS,775.599426138723,628.77386474609375,NA,NA,14498.375083968893,21227.655227866806,NA,11868.216176100781,NA,NA,NA,NA,9829.225082343257,NA,NA,7984.5928640939255,NA,13302.479565964579,NA,5839.8607635507315,NA,NA,13477.140948004311,NA,NA,NA,14662.412114623423,NA,NA,NA,10124.078598016822,11277.862998264189,7229.642673275504,NA,NA,NA,10297.806523405512,13937.724609376935
M777T19_POS,777.0443310556946,19.000934600830078,13407.59348134386,NA,9560.458523878284,NA,6653.148294723388,NA,6873.408121674688,NA,4458.28242260343,14255.758258951762,NA,9851.40827316177,9347.174473528756,NA,NA,7007.975056152237,5879.3521175285405,NA,NA,NA,NA,3332.8174054689994,NA,3833.794537328391,NA,11181.005694084763,NA,NA,10046.87001299456,NA,14702.917364789766,NA,4838.379104287105,NA,NA,NA
M781T18_POS,781.3110289918054,18.429667472839355,60595.4611651399,62683.16055357878,45658.64200860084,40043.40878828471,8439.439023351586,9806.612996976843,9620.28993798864,65862.4745880077,7552.684911810466,49436.43076964448,43277.48087840666,46072.018914105276,49235.25878245921,33968.71462502719,NA,9131.730778811672,8880.469369463823,NA,8753.596445042209,NA,6262.226990234552,5830.65600515156,NA,6640.12899399168,7539.361902359871,62927.74893446151,79363.62458305196,73506.65642323699,65152.79893521864,54134.013509125405,58200.442776843855,NA,8039.206917263917,NA,51540.77094073272,52092.87669947381
M782T19_POS,782.3127868177322,18.698469161987305,11409.264389462849,12457.362306115707,8242.59846879664,6679.191568502364,NA,NA,NA,11803.10512085808,NA,10151.934247599505,8317.188904466559,8472.591731396573,8844.793711767052,7314.20338825715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12453.218465559276,13571.428847764777,NA,13565.358359857924,10862.83293697246,9999.458128351722,NA,NA,NA,10559.831222889854,10261.143552218193
M783T628_POS,782.5648764410116,628.1126708984375,25469.520664133088,105804.46380570486,NA,86292.62306191209,112260.18076264948,102437.70039865235,NA,NA,70725.44780248411,99612.4713135908,28510.757463538244,56044.87959635448,90198.42440887266,105110.3683396345,146439.72210598984,94894.95224983484,45481.863921603916,NA,7873.702583350222,3454.0210699114855,84257.39962308937,436414.4517511615,329495.50547450734,204182.0269783502,NA,NA,123527.09464355258,127860.8061327876,126562.21065162236,99267.64929838968,162859.56024425488,49913.18461819319,13614.34540430669,20592.957928889446,96678.56407162429,55249.7616737185
M783T596_POS,782.5640044011338,596.03173828125,NA,NA,NA,71553.19244560551,NA,NA,NA,NA,NA,NA,NA,NA,NA,107245.08499444967,136500.17781687353,NA,NA,NA,NA,NA,47754.19375100195,203280.8830214653,NA,NA,NA,NA,75415.67331225192,74135.58169849312,NA,88419.25499036137,NA,NA,NA,NA,120495.370409904,NA
M783T19_POS,783.3116152511357,18.613224029541016,7461.0275168757835,6738.159316937981,4634.255375849441,4983.427053029117,NA,NA,NA,7865.811426260055,NA,5374.681862464438,4435.015310309997,NA,5258.222967498991,4664.902070766678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6669.030466710899,7019.618348388535,7957.813622224109,7274.017611306859,6008.811990721474,6023.613846690359,NA,NA,NA,6150.608120713032,NA
M784T628_POS,783.5694467547905,628.1583251953125,9946.540718135402,37982.72774839201,NA,NA,39176.58460398765,29197.948996264324,NA,NA,26401.11954674839,29845.127605092704,NA,20447.206306371765,37594.346306650186,39547.65059696939,43633.260121499,33136.16071416681,17873.91641468348,NA,NA,NA,26696.39374317685,125042.49421699133,105246.08584492699,NA,8930.1231343481,NA,44039.19393525435,47572.85282946272,38158.307090832706,NA,NA,20427.062205728293,NA,7781.36730190113,43097.99910842098,18980.008183711223
M785T629_POS,784.5808087492085,628.7104187011719,NA,114015.89821358552,NA,35153.446911088125,58832.60884636722,14921.241009765343,NA,NA,76071.59655466369,15917.206764288338,NA,52817.835667706546,73140.97595164867,67030.0146492904,65381.186583740804,18614.720969421913,NA,5816.360893230785,NA,NA,23014.847145180524,NA,NA,NA,NA,NA,76035.22678953348,75832.24783538019,65071.38278998507,49785.238753262456,109287.5174149434,48004.64659747717,NA,46116.95519745964,20920.731163144512,59731.944794745104
M785T177_1_POS,785.0238084217046,176.7290496826172,NA,NA,NA,4086.9411972428834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2182.5802353523386,NA,NA,NA,3657.4337017165826,5646.212797149365,NA,NA,5310.887675267147,4680.2677120295675,NA,3102.7130842490988,4883.837480529886,NA,NA,NA,4086.4033480404723
M785T177_2_POS,785.3569807844948,176.80860900878906,NA,4647.767359822066,NA,4903.410370257201,NA,NA,NA,4974.110414073673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2976.584653845132,3312.2504282452473,NA,NA,5742.487184313382,6764.959279047521,NA,5422.318891095055,5058.323650367464,6057.969737348193,NA,4781.735317132034,NA,NA,NA,NA,5053.362015811023
M786T629_POS,785.5850891791678,628.677978515625,NA,38568.44210586867,NA,13372.266540541455,22701.829637818933,NA,NA,NA,NA,NA,NA,17433.537883840985,22172.77183042394,20731.992886774606,21183.184646594647,6391.044113177795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25040.099287070392,NA,22278.830085821897,15813.933135712055,38924.442770889465,16324.121475251957,NA,17282.606592156048,NA,22582.697072456285
