variable_id,mz,rt,X20210902_neg04,X20210902_neg05,X20210902_neg06,X20210902_neg07,X20210902_neg08,X20210902_neg09,X20210902_neg10,X20210902_neg11,X20210902_neg13,X20210902_neg14,X20210902_neg26,X20210902_neg27,X20210902_neg28,X20210902_neg29,X20210902_neg31,X20210902_neg32,X20210902_neg33,X20210902_neg34,X20210902_neg35,X20210902_neg36,X20210902_neg15,X20210902_neg16,X20210902_neg17,X20210902_neg18,X20210902_neg19,X20210902_neg20,X20210902_neg22,X20210902_neg23,X20210902_neg24,X20210902_neg25,X20210902_neg03,X20210902_neg12,X20210902_neg21,X20210902_neg30,X20210902_neg37,X20210902_neg38
M116T505_NEG,115.9200439453125,505.2690124512,1014346.0974449937,1161970.0651524004,1084626.4245963013,931673.7286260541,861777.5959072412,811953.1352373824,773857.5249214352,488044.55439423915,616234.6741996462,591745.0781367492,38815.083309700974,NA,29726.98335649315,38033.906016441484,NA,NA,NA,NA,NA,NA,373279.89759032766,180899.2805108745,215983.7729723534,267164.71705172263,116860.52006192817,79622.17391963881,72020.24716871459,59127.87016304083,57205.15945444032,50714.17844206226,1122571.1654710202,557100.8049608546,93046.41969006388,NA,NA,NA
M116T483_NEG,115.9200439453125,483.26150894166,811845.1736886179,621297.4899421127,881852.4918312383,591202.0148742526,217074.77315310555,NA,NA,NA,NA,NA,NA,NA,85675.47158509583,101570.47649245347,NA,NA,30256.59609486229,NA,NA,NA,588692.0307510121,459342.43849091337,94094.5967745109,483622.0585065637,265031.6060699608,NA,NA,NA,NA,26113.70647420355,NA,NA,NA,NA,NA,NA
M116T586_NEG,115.9200439453125,585.97000122072,NA,NA,NA,NA,NA,NA,NA,1200774.6630243235,NA,NA,25055.532748633785,NA,NA,41914.34259164984,NA,NA,NA,NA,NA,NA,1211309.6948312602,NA,NA,392959.82383654086,264806.7155708077,NA,175985.49405261912,60537.10916533759,89177.99864622834,43123.21777211671,NA,468893.4033060467,104852.6207658141,NA,NA,NA
M116T125_NEG,116.05014038085938,125.2390050888,NA,NA,NA,NA,NA,73544.09194825927,90475.20091817703,88940.58524584114,76480.89984217756,65778.40994407661,NA,NA,NA,NA,NA,22417.614081075615,22851.756908813175,15487.434360264355,22500.66176971009,19893.90657733269,15575.373902228708,17759.35226446705,NA,18425.70833852379,15694.331792727506,27639.415210340445,25481.98671329181,26739.20476305817,20012.28241454833,20475.156035032745,101744.71781609148,76808.67272920886,42809.730866965954,23961.34743683897,20421.82989134394,22540.223531143933
M117T632_1_NEG,116.92739868164062,631.70502662661,2265715.1200471227,1693380.0848542901,1425862.459658872,NA,2398459.834620995,1477288.1534131079,1903687.7354734696,1845366.2933854365,682513.9431892838,1160417.6913546724,253631.80541972545,278005.1909687679,260595.9166094326,209294.23622321553,223550.76517849023,188890.45876395688,159282.77238156906,181131.64789740296,NA,188011.39192142428,968649.3876429753,1306057.8889985287,957947.0332968201,846498.4656011702,726122.0662576648,753185.027167094,382711.48429558147,393090.32669100264,346883.69691320846,372948.953097546,2352763.4077732624,1924981.3400353747,603319.4981925549,198621.31896909935,174017.80739262226,166580.2051194045
M117T361_NEG,116.92739868164062,360.98699569703996,782269.5656426328,NA,574656.6758940802,685871.1356980155,471727.01702745375,NA,401763.01554768265,NA,357220.2768333755,NA,129924.79115236488,127838.4501138333,NA,60530.13387909436,NA,43042.29794728913,NA,NA,37749.45753059254,NA,265099.41402974434,264169.66715797625,211324.68534194035,NA,161996.50581492097,164334.5524457217,177902.58296275383,100789.65726085575,90329.73524885203,NA,NA,381666.99888143985,NA,NA,NA,NA
M117T318_NEG,116.92739868164062,318.39900970458,1395892.3202197794,1037928.329430414,802974.2068082024,877008.3174715082,946074.9483009911,NA,803428.3826494771,NA,NA,NA,59794.45132600246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167091.38190072903,NA,518289.2716934194,260667.7722090494,307922.1195967626,NA,NA,NA,1299073.702529434,477945.6886021755,190421.67915484792,140308.0938664069,NA
M117T397_NEG,116.92739868164062,397.21449851988,997154.2332240664,NA,843707.5070011024,711837.9102289911,NA,NA,614871.1046789848,NA,1386083.5438656323,NA,NA,314034.3361197073,NA,95540.44324223431,NA,NA,NA,NA,230645.56345946385,NA,621081.4159189812,580201.7689206612,724310.8657042938,NA,NA,405523.26483478287,NA,NA,554799.4739768562,NA,NA,623346.7491551467,NA,NA,NA,NA
M117T422_NEG,116.92739868164062,421.81400299074,2429917.4971435806,NA,2215937.4453406404,538606.9341685703,903397.3660490897,NA,NA,NA,NA,NA,NA,319895.78882592503,NA,98233.28755486838,NA,92364.46158552628,NA,173380.57412613957,139545.33538597712,NA,448456.19147201616,470927.32747359364,782535.5193619808,NA,537464.0651509787,781259.5930524421,NA,NA,234554.22989956464,NA,NA,1228597.5444604955,NA,NA,NA,88259.81918260104
M117T228_NEG,117.03369140625,228.26399803164,12249.213652700324,11780.88617361449,11495.138700384749,9982.48174672392,9483.023289139031,90817.3825250552,80711.60692222367,73181.46680565513,72093.31861659061,67234.11654520566,NA,NA,NA,NA,NA,NA,22410.48495180133,10084.999793997322,17791.84790164966,6822.890611554027,22649.846150194688,28139.425010037827,2727.2417235107373,21381.067826191927,19358.49064479114,55844.98132150497,56381.06674489043,45310.55900561274,40493.04245774834,34034.96318720063,112683.75062253387,80063.81896677827,52444.81269119813,30885.079840386286,21803.395691964095,19962.44838088883
M117T185_NEG,117.03369140625,184.80500221254,NA,NA,NA,NA,NA,17323.02923370968,25580.227231456607,28217.8032015589,20675.88088923025,16423.550868568727,NA,NA,NA,NA,NA,7846.479743270673,8256.876064546464,6161.306493413651,NA,7304.352803673155,6621.280993093728,NA,NA,7211.375807660654,NA,10208.71431745095,11928.010948094601,11489.443184490787,NA,8636.834619141157,27178.41221801901,20579.22771455046,NA,9964.73062099811,8221.413443897844,7531.171131138383
M117T632_2_NEG,117.03811645507812,632.33250617982,46803.24993923219,38796.238861345875,33393.57738514091,31483.655977331448,31977.939498364787,24844.633476363193,23037.046655220984,21064.636616827116,14108.653830167286,10383.667269598529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8877.820495560967,8113.23062900697,5455.633060437665,4158.076497619986,NA,NA,NA,NA,NA,NA,54015.215377744644,17166.33523385843,NA,NA,NA,NA
M118T632_NEG,117.92799377441406,632.3309898376201,146392.59797110938,134801.15768891177,123648.55572100737,113604.54438842868,126625.0264216758,112366.65651698153,107023.79888546382,96706.95495183846,83902.78279025509,82782.33411358912,17156.355203984935,15193.807337638757,11963.20760459685,NA,NA,6265.433624236766,NA,NA,NA,NA,62784.54080406997,77081.47947596254,61291.055846521725,61016.81844465426,50861.87581374279,49847.3507723203,NA,25407.616381790267,25165.346279194448,17889.51346915873,181501.44378681263,102197.02766825556,40249.3773498311,NA,NA,8204.112134667856
M119T40_NEG,119.04898071289062,39.66400086882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4146.586150146635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11873.942421367168,NA,6415.9456706783885,NA,4849.61934684381
